GPU,Title,Model,Total Parameters,Image Size,Batch Size,Train Images,Validation Images,Test Images,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss,Test Accuracy,Test Loss,Training Duration (seconds),Training Duration (hours),Total Epoch
A100 40GB,"EfficientNetB6 Not Modified, 0% Freeze, None",EfficientNetB6,43.846.802,"(528, 528)",8,1382,348,2550,0.3798842132091522,1.0965369939804077,0.3936781585216522,1.0938233137130737,0.21490195393562317,1.0892055034637451,1509,0.4191019569502936,13
A100 40GB,"EfficientNetB5 Not Modified, 0% Freeze, None",EfficientNetB5,31.138.042,"(456, 456)",8,1382,348,2550,0.3733719289302826,1.087228775024414,0.3936781585216522,1.088585376739502,0.10784313827753067,1.1571000814437866,6692,1.858916383518113,99
A100 40GB,"EfficientNetB6 Not Modified, 0% Freeze, None",EfficientNetB6,43.846.802,"(528, 528)",8,1382,348,2550,0.37698987126350403,1.0941880941390991,0.37068966031074524,1.0924651622772217,0.10784313827753067,1.1561534404754639,8218,2.282690537042088,99
A100 40GB,"EfficientNetB7 Not Modified, 0% Freeze, None",EfficientNetB7,67.246.490,"(600, 600)",4,1382,348,2550,0.3885672986507416,1.081750750541687,0.45114943385124207,1.0740669965744019,0.10784313827753067,1.1639989614486694,10074,2.798310623500082,99
A100 40GB,"EfficientNetB0 Modified, 0% Freeze, None",EfficientNetB0,3.163.118,"(224, 224)",32,1382,348,2550,0.9913169145584106,0.02585635706782341,0.9741379022598267,0.08974730968475342,0.8447058796882629,0.7170161008834839,2760,0.7667148966259426,99
A100 40GB,"EfficientNetB1 Modified, 0% Freeze, None",EfficientNetB1,4.884.358,"(240, 240)",32,1382,348,2550,0.9898697733879089,0.0314934104681015,0.977011501789093,0.07543544471263885,0.8160784244537354,1.126063346862793,2983,0.828737693561448,99
A100 40GB,"EfficientNetB2 Modified, 0% Freeze, None",EfficientNetB2,5.639.678,"(260, 260)",32,1382,348,2550,0.9876989722251892,0.035153090953826904,0.9712643623352051,0.101164311170578,0.7980391979217529,0.8568528890609741,3260,0.9056750282314089,99
A100 40GB,"EfficientNetB3 Modified, 0% Freeze, None",EfficientNetB3,6.627.118,"(300, 300)",32,1382,348,2550,0.9884225726127625,0.0372876413166523,0.9655172228813171,0.10296591371297836,0.7168627381324768,1.8773497343063354,3894,1.08153426527977,99
A100 40GB,"EfficientNetB4 Modified, 0% Freeze, None",EfficientNetB4,8.754.426,"(380, 380)",32,1382,348,2550,0.9942113161087036,0.02009212225675583,0.982758641242981,0.07759994268417358,0.6466666460037231,1.679642677307129,5386,1.4959861104355918,99
A100 40GB,"EfficientNetB5 Modified, 0% Freeze, None",EfficientNetB5,15.266.438,"(456, 456)",8,1382,348,2550,0.7033284902572632,0.491730272769928,0.6925287246704102,0.48640602827072144,0.6470588445663452,1.2267394065856934,6439,1.7885664661063088,99
A100 40GB,"EfficientNetB6 Modified, 0% Freeze, None",EfficientNetB6,19.271.010,"(528, 528)",8,1382,348,2550,0.4138928949832916,1.0848069190979004,0.49712643027305603,1.0557239055633545,0.10784313827753067,1.1545794010162354,8034,2.2315633349286186,99
A100 40GB,"EfficientNetB7 Modified, 0% Freeze, None",EfficientNetB7,30.541.122,"(600, 600)",4,1382,348,2550,0.407380610704422,1.0806385278701782,0.4454022943973541,1.0545849800109863,0.4964706003665924,1.313838243484497,1700,0.47219600915908816,14
A100 40GB,"EfficientNetB0 Modified, 0% Freeze, Input Shape (224, 224)",EfficientNetB7,3.163.118,"(224, 224)",32,1382,348,2550,0.8675832152366638,0.3291586637496948,0.4913793206214905,1.1019361019134521,0.24705882370471954,1.097403883934021,384,0.10663497752613492,11
